text,label,label_name
i actually feel frightened of people here right now,4,fear
i wake up every morning not knowing what the hell to do and feeling like crap with my stomach on fire and my bones aching and then i go to bed every night feeling the same thing,0,sadness
i feel pretty weird blogging about deodorant but im a bit of a deodorant snob and find it really hard to find a good one,4,fear
i say it it makes me feel special,1,joy
im puzzled because i have been feeling him wiggle very low in my pelvis and feeling bumps and thumps at the very top of my stomach like the very top,0,sadness
i barely seem to remember where i live in the middle of coming to terms with the likelihood that i would just be single for the rest of my life and feeling pretty content about that,1,joy
im feeling my loving heart is all yours for the stealing reach out your worn hands for you im ready a href http,2,love
i cant change how he feels find the positive,1,joy
i do find myself confused when i feel no pain and when my pain becomes resigned understanding a warm memory of a beautiful girl locked away for no one to ruin to taint,0,sadness
i remember feeling embarrassed that not only someone recognized me but called me such a name,0,sadness
i end up feeling so unwelcome i go into a spare bedroom being used as a coat closet take the xanax i had been saving the entire time and pass out,0,sadness
i haven t seen her since they broke up but now i m in this class and she is here waving at me so i go and sit next to her and get out my stuff and talk to her but i feel really strange about it because she cheated on my friend which i really should have mentioned before,5,surprise
i havent really talked to anyone about it in depth because i feel like im being whiney repetetive and needy,0,sadness
i watch hgtv and i feel like im not that talented,1,joy
i feel nervous but hes in control pretty soon,4,fear
i am feeling mega pathetic and clingy todayyy,0,sadness
i don t feel that irritated,3,anger
i dunno where that feeling came from and im not terribly keen to feel it again,1,joy
i feel embarrassed for others that something so small makes them feel awkward,0,sadness
im lulled into a fantasy of walking hand in hand in some remote location preferably the beach at sunset its cliched i know and feeling love and loving in return,2,love
i feel my gorgeous boyfriend throw me up against the wall of the toilet cubicle,1,joy
i was playing with friends then i decided to splash some sand into a car which was moving nearby the driver got angry and came to report to my parents,4,fear
i keep going back to people are douche canoes because they need to feel superior they need that ego boost they need someone to look down upon,1,joy
i don t feel pretty when i m in cardiff,1,joy
my mother did not come home till late at night ages ago anyway if i dont know where my parents are and when theyll be back i start thinking that perhaps they have had an accident and are perhaps dead,4,fear
im feeling really bitchy so just stop reading if you dont want to hear my sob story,3,anger
i think feeling insulted was a good thing maybe if we all felt insulted and made that clear when someone attacks with a racial religious slur even though it is not aimed at you personally those that made the comment might learn something,3,anger
i feel more passionate about things too,1,joy
i need to feel confident about my stroke play and when i recently injured my wrist i found the x tremus the best for helping me recover yet still play,1,joy
im feeling very gloomy,0,sadness
i feel good players can play with each other whether they have to play on the right or left of the centre back role,1,joy
im told by horsey people that they are a rare find so i feel quite lucky,1,joy
im not feeling insecure this month im feeling full of oomph,4,fear
i do find most to be geocentric and i feel we sure do get enough of them,1,joy
i feel assured the world around me seems brighter,1,joy
i still feel incredibly frustrated by it,3,anger
i drink a glass of champagne and feel really relieved,1,joy
i know hes upset that ryan did this to me he liked him when he met him and he even thought his feelings for me were sincere,1,joy
i cant be bothered as coming and doing is a pleasant pass time followed by cascades of positive feelings unless you are sexualy troubled,0,sadness
death of grandmother,0,sadness
i just feel so depressed and i don t know what would make me happy,0,sadness
i stated in the class discussions the school discourages the use of im reference at the library because they feel that it will be abused,0,sadness
im getting there but i really do feel dazed and confused at the moment,5,surprise
im starting to feel wryly amused at the banal comedy of errors my life is turning into,1,joy
i feel curious about the subject matter,5,surprise
i feel about the plight of these dogs so its lovely to find a turkish vet who really cares,2,love
i feel more satisfied with what i eat i feel full longer and i dont feel like snacking later,1,joy
i just yearned for that homey feeling where you are sitting at the river with friends and the sun is hot and warming your skin and you are wearing jean shorts and life is perfect for a day,2,love
i was fascinated by the ebb and flow of the water and stood there feeling content watching the waves,1,joy
i got an overall dark and uncomfortable feeling as we chose to stay until the end as not to disrupt or be rude,3,anger
a friend of mine suggested that i become a film extra the idea seemed very funny to me and my reaction seemed rather outlandish to the others,1,joy
i feel you i can t take more than mg of seroquel either because the restless leg syndrome keeps me awake all night,4,fear
i usually feel suspicious and guilty about this considering how little i do during my work day,4,fear
i squirmed against it but the pain was starting to get to him so he stopped feeling resigned,0,sadness
i found myself feeling so angry,3,anger
i feel i will never escape something drawing attention to my forehead when distressed because i imagine old age will turn the scrunching into permanent wrinkles,4,fear
i am not wishing november away or trying to forget about thanksgiving but i need to be mindful of what really matters when i feel overwhelmed,4,fear
i can feel his impatient and i can t stop my body from giving him positive response,3,anger
i feel so ugly lately,0,sadness
i murakami but the first that i feel captures what makes him so beloved by his fans,1,joy
i keep asking if ive finally grown that th head that was coming in or not because i feel like people are looking at me like ew when i try to be friendly,1,joy
i do know the main reason i feel like i m losing myself unsure if i ll ever get those pieces back but i m not quite ready to talk about that just yet,4,fear
i can eat but allow myself one naughty item of my choice to avoid feeling deprived,0,sadness
i want something that is personalized where they can appreciate and at least feel that i am for real sincere in giving them,1,joy
i am if i go back to the hostel for a break i feel anxious to get back out and see more and more take it all in,4,fear
i could find another reason i m new in the area and i feel less intimidated with a simple tool that i can understand,4,fear
i started to explain how miserable ive been this year and all of the reasons why and its just so pathetic feeling that im too embarrassed to even describe,0,sadness
